province,age,registered_2022
Davao (Davao Del Norte),48,11147
Davao (Davao Del Norte),49,11153
Davao (Davao Del Norte),50,10353
Davao (Davao Del Norte),51,10754
Davao (Davao Del Norte),52,10729
Davao (Davao Del Norte),53,10314
Davao (Davao Del Norte),54,9468
Davao (Davao Del Norte),55,9021
Davao (Davao Del Norte),56,8792
Davao (Davao Del Norte),57,8871
Davao (Davao Del Norte),58,8513
Davao (Davao Del Norte),59,8406
Davao (Davao Del Norte),60_and_over,97499
Davao De Oro (Compostela Valley),18,10885
Davao De Oro (Compostela Valley),19,13006
Davao De Oro (Compostela Valley),20,13561
Davao De Oro (Compostela Valley),21,14230
Davao De Oro (Compostela Valley),22,13767
Davao De Oro (Compostela Valley),23,12912
Davao De Oro (Compostela Valley),24,13548
Davao De Oro (Compostela Valley),25,12986
Davao De Oro (Compostela Valley),26,13621
Davao De Oro (Compostela Valley),27,13783
Davao De Oro (Compostela Valley),28,13712
Davao De Oro (Compostela Valley),29,13795
Davao De Oro (Compostela Valley),30,13564
Davao De Oro (Compostela Valley),31,13385
Davao De Oro (Compostela Valley),32,12627
Davao De Oro (Compostela Valley),33,12931
Davao De Oro (Compostela Valley),34,12690
Davao De Oro (Compostela Valley),35,11840
Davao De Oro (Compostela Valley),36,10808
Davao De Oro (Compostela Valley),37,10431
Davao De Oro (Compostela Valley),38,10308
Davao De Oro (Compostela Valley),39,10007
Davao De Oro (Compostela Valley),40,9545
Davao De Oro (Compostela Valley),41,9394
Davao De Oro (Compostela Valley),42,9699
Davao De Oro (Compostela Valley),43,9040
Davao De Oro (Compostela Valley),44,8763
Davao De Oro (Compostela Valley),45,8435
Davao De Oro (Compostela Valley),46,8348
Davao De Oro (Compostela Valley),47,8192
Davao De Oro (Compostela Valley),48,8117
Davao De Oro (Compostela Valley),49,8477
Davao De Oro (Compostela Valley),50,7611
Davao De Oro (Compostela Valley),51,7588
