municipality,province,absolute_change
GUIMBA,NUEVA ECIJA,5524.0
GUIMBAL,ILOILO,2569.0
GUINAYANGAN,QUEZON,1545.0
GUINDULMAN,BOHOL,1270.0
GUINDULUNGAN,MAGUINDANAO,4533.0
GUINOBATAN,ALBAY,3841.0
GUINSILIBAN,CAMIGUIN,-289.0
GUIPOS,ZAMBOANGA DEL SUR,1835.0
GUIUAN,EASTERN SAMAR,609.0
GUMACA,QUEZON,6735.0
GUTALAC,ZAMBOANGA DEL NORTE,1550.0
HADJI MOHAMMAD AJUL,BASILAN,1154.0
HADJI MUHTAMAD,BASILAN,1564.0
HADJI PANGLIMA TAHIL (MARUNGGAS),SULU,1172.0
HAGONOY,BULACAN,4529.0
HAGONOY,DAVAO DEL SUR,456.0
HAMTIC,ANTIQUE,1519.0
HERMOSA,BATAAN,3581.0
HERNANI,EASTERN SAMAR,332.0
HILONGOS,LEYTE,1532.0
HIMAMAYLAN CITY,NEGROS OCCIDENTAL,5484.0
HINABANGAN,SAMAR (WESTERN SAMAR),416.0
HINATUAN,SURIGAO DEL SUR,2882.0
HINDANG,LEYTE,115.0
HINGYON,IFUGAO,676.0
HINIGARAN,NEGROS OCCIDENTAL,-239.0
HINOBA-AN (ASIA),NEGROS OCCIDENTAL,4404.0
HINUNANGAN,SOUTHERN LEYTE,234.0
HINUNDAYAN,SOUTHERN LEYTE,132.0
HUNGDUAN,IFUGAO,18.0
IBA,ZAMBALES,3155.0
IBAAN,BATANGAS,1223.0
IBAJAY,AKLAN,1971.0
IGBARAS,ILOILO,178.0
IGUIG,CAGAYAN,1225.0
ILAGAN CITY,ISABELA,2485.0
ILIGAN CITY,LANAO DEL NORTE,1394.0
ILOG,NEGROS OCCIDENTAL,-1047.0
ILOILO CITY,ILOILO,35694.0
IMELDA,ZAMBOANGA SIBUGAY,289.0
IMPASUG-ONG,BUKIDNON,5024.0
IMUS CITY,CAVITE,8142.0
INABANGA,BOHOL,2078.0
INDANAN,SULU,2254.0
INDANG,CAVITE,-1237.0
INFANTA,PANGASINAN,382.0
INFANTA,QUEZON,8560.0
INITAO,MISAMIS ORIENTAL,835.0
INOPACAN,LEYTE,665.0
IPIL,ZAMBOANGA SIBUGAY,7961.0
IRIGA CITY,CAMARINES SUR,8265.0
IROSIN,SORSOGON,3210.0
ISABEL,LEYTE,-108.0
ISABELA,NEGROS OCCIDENTAL,1284.0
ISABELA CITY,BASILAN,11232.0
ISLAND GARDEN CITY OF SAMAL,DAVAO (DAVAO DEL NORTE),13564.0
ISULAN,SULTAN KUDARAT,2764.0
ITBAYAT,BATANES,163.0
ITOGON,BENGUET,1994.0
IVANA,BATANES,132.0
IVISAN,CAPIZ,857.0
JABONGA,AGUSAN DEL NORTE,-55.0
JAEN,NUEVA ECIJA,5682.0
JAGNA,BOHOL,1672.0
JALA-JALA,RIZAL,921.0
JAMINDAN,CAPIZ,1025.0
JANIUAY,ILOILO,3139.0
JARO,LEYTE,3207.0
JASAAN,MISAMIS ORIENTAL,2577.0
JAVIER (BUGHO),LEYTE,-76.0
JETAFE,BOHOL,760.0
JIABONG,SAMAR (WESTERN SAMAR),1514.0
JIMALALUD,NEGROS ORIENTAL,1565.0
